name,number_living
Abdoulie,118.87141
Abdourahman,10.9206
Abdourahmane,34.77859
Abdrahman,14.87555
Abdrew,5.828939999999999
Abdriel,26.86666
Abdu,30.833090000000002
Abdual,16.211
Abduallah,31.7501
Abduel,4.75035
Abdul,6078.47133
Abdula,37.47121
Abdulah,73.85722
Abdulahad,138.18534
Abdulahi,474.20866
Abdulai,97.26992
Abdulaye,4.964
Abdulazeem,9.963000000000001
Abdulazeez,29.72868
Abdulazim,4.9671
Abdulaziz,1557.5364
Abdulbari,4.9644
Abdulbasit,36.7593
Abdule,5.688
Abdulelah,43.70012
Abdulghani,15.928270000000001
Abdulhaadi,9.96645
Abdulhadi,184.76162
Abdulhakeem,56.51638
Abdulhakim,22.81035
Abdulhalim,4.9384
Abdulhameed,15.89204
Abdulhamid,98.28737
Abduljabbar,38.74409
Abduljaleel,4.964
Abduljalil,4.96215
Abdulkabir,4.9719
Abdulkadir,143.88505
Abdulkareem,224.90471
Abdulkarim,183.48167
Abdulkhaliq,17.879269999999998
Abdull,4.80215
Abdulla,486.55048
Abdullah,8287.19754
Abdullahi,1681.13928
Abdullateef,4.97
Abdullatif,48.35539
Abdulloh,167.18006
Abdulmajeed,52.67871
Abdulmajid,20.81737
Abdulmalek,4.96355
Abdulmalik,518.23831
Abdulmannan,4.9677500000000006
Abdulmateen,5.0
Abdulmohsen,20.85666
Abdulnasir,4.964
Abdulqadir,56.626470000000005
Abdulraheem,147.93845
Abdulrahim,130.88509
Abdulrahman,2606.66294
Abdulrazaq,4.96585
Abdulrehman,59.5748
Abdulrhman,27.79907
Abdulsalam,85.50474
Abdulsamad,34.75462
Abdulwadud,4.96355
Abdulwahab,170.61627000000001
Abdulwahhab,4.97
Abdulwahid,17.87372
Abdulwali,21.89084
Abdur,305.78312999999997
Abdurahim,4.9671
Abdurahman,418.72787
Abdurahmon,14.93775
Abdurraheem,32.770579999999995
Abdurrahim,26.067729999999997
Abdurrahmaan,4.94775
Abdurrahman,926.28253
Abdurrehman,35.72495
Abdussamad,5.94864
Abe,3907.17599
Abeal,4.927099999999999
Abed,202.19113
Abedallah,15.72536
Abedalrahman,10.90464
Abednego,90.35922000000001
Abeeha,200.02394999999999
Abeer,742.66387
Abeera,94.50433
Abegail,510.73115
Abegale,4.9652
Abegayle,22.84426
Abel,57580.91524
Abela,21.87415
Abelardo,4051.57367
Abelina,456.63188
Abelino,650.63547
Abell,25.8856
Abella,1028.37687
Abem,102.37787
Aben,27.80258
Abena,623.27305
Abenezer,223.54513
Abeni,374.29988
Aber,4.9162
Aberdeen,213.16437
Aberham,21.0049
Abernathy,32.80311
Abert,0.7377
Abery,6.95415
Abey,26.78409
Abgail,28.76815
Abha,56.5383
Abhay,816.05742
Abhaya,11.93666
Abhayram,12.96066
Abheek,6.9496
Abhi,274.76486
Abhigna,47.719409999999996
Abhijay,99.19043
Abhijeet,44.52004
Abhijit,41.5769
Abhijot,57.59952
Abhik,30.76422
Abhilash,21.752110000000002
Abhimanyu,254.07484
Abhinav,1900.4716799999999
Abhinay,4.951499999999999
Abhinaya,4.97115
Abhir,4.9677500000000006
Abhiraam,5.95902
Abhiraj,93.3317
Abhiram,1152.7708499999999
Abhirami,4.97205
Abhirup,9.9168
Abhishek,747.31156
Abhyant,12.964
Abhyuday,9.9323
Abi,604.55092
Abia,102.36411
Abiageal,144.10424
Abiah,106.46723
Abian,19.861629999999998
Abianna,9.93985
Abibail,5.90424
Abid,365.8334
Abida,43.71197
Abidah,4.9716
Abidan,22.80827
Abie,461.5403
Abiegail,14.899149999999999
Abiel,1367.24972
Abiela,19.8793
Abiella,15.90071
Abiezer,11.88606
Abigael,1845.88101
Abigaelle,260.76054999999997
Abigahil,41.68361
Abigai,11.91882
Abigail,392982.93348999997
Abigaile,608.59338
Abigailgrace,17.89482
Abigailjoy,5.0
Abigaille,26.82486
Abigailmarie,10.93503
Abigailrose,30.83317
Abigal,779.97599
Abigale,5760.95833
Abigayil,20.82043
Abigayl,342.44693
Abigayle,6057.26558
Abigeal,21.85347
Abigel,30.805929999999996
Abigial,170.73535
Abiha,188.02598
Abihail,28.79288
Abijah,381.24414
Abilene,1383.74355
Abilgail,27.72525
Abilio,4.9015
Abilyn,4.9708000000000006
Abilynn,5.96538
Abimael,1322.1102
Abimbola,83.53899
Abimelec,74.41449
Abin,9.8977
Abinadab,4.951499999999999
Abinadi,21.795659999999998
Abinav,43.6769
Abinaya,57.61968
Abiodun,17.25744
Abiola,218.28587
Abiona,18.877580000000002
Abir,673.03171
Abira,41.80875
Abiram,11.912310000000002
Abirami,35.74514
Abisag,15.86093
Abisai,1078.47928
Abisaid,4.96645
Abish,23.82403
Abisha,63.62599
Abishai,292.95127
Abishek,49.45689
Abisola,116.11162
Abiud,5.9418
Abiy,8.94195
Abiya,15.91931
Abiyah,31.86617
Abla,10.920380000000002
Ablakat,39.79479
Able,958.2055
Abnel,5.9556
Abner,6253.15057
Abney,9.9534
Abniel,4.9677500000000006
Abony,42.3771
Abou,96.30095
Aboubacar,402.56005
Aboubakar,64.54390000000001
Abra,973.16706
Abraam,58.46226
Abraar,11.90768
Abrah,40.54331
Abraham,82072.79465
Abrahan,998.8243
Abraheem,21.75685
Abrahem,40.61989
Abrahim,643.69055
Abrahm,766.7661
Abram,17048.21529
Abrams,4.97
Abran,1855.64187
Abranda,4.8944
Abrar,978.4295500000001
Abraxas,56.59098
Abraya,4.97205
Abrea,187.36415
Abreana,43.65851
Abreanna,258.85735
Abree,623.80777
Abreia,5.93334
Abrem,4.96645
Abren,10.9209
Abreona,5.93664
Abreonna,14.90135
Abrey,151.99621
Abreya,4.95225
Abrham,129.14286
Abri,237.64055
Abria,871.68768
Abriah,34.78281
Abrial,120.08822
Abriam,4.9015
Abrian,354.62149
Abriana,2494.05057
Abrianna,4170.4279
Abriannah,14.913359999999999
Abrianne,14.88575
Abrie,316.0893
Abriel,1176.03039
Abriela,61.66376
Abriele,4.95225
Abriella,1786.1485
Abrielle,4280.74683
Abrien,26.793280000000003
Abrienne,26.838299999999997
Abrigail,25.71088
Abrihet,4.97115
Abril,8614.08461
Abrille,9.886
Abrina,169.49518
Abrion,10.88593
Abriona,19.84615
Abrionna,53.61897
Abrish,94.48361
Abriya,28.800690000000003
Abriyah,17.89792
Abriyana,5.96238
Abrom,0.99624
Abron,144.59999000000002
Abrum,64.52673
Abry,12.925830000000001
Abryana,186.7527
Abryanna,268.2032
Abryella,16.90239
Abryelle,31.80331
Abryl,13.91304
Absalat,80.60265
Absalom,187.39208
Absalon,32.52113
Abshir,87.38339
Absidy,16.89192
Abtin,5.95728
Abu,425.36972
Abubacar,13.8976
Abubacarr,24.83315
Abubakar,820.34686
Abubakarr,46.66995
Abubakary,9.9168
Abubaker,49.66719
Abubakir,6.958
Abubakr,587.73261
Abuk,69.62806
Abukar,37.71897
Abundio,124.08556
Abuzar,17.93066
Aby,302.74313
Abyade,9.93355
Abyan,165.84762
Abygael,53.68428
Abygail,2779.24388
Abygaile,12.91915
Abygale,358.65326
Abygayle,146.00041
Abyssinia,41.76958
Ac,72.83942
Acacia,4070.26759
Acacius,5.95902
Acadia,1020.36366
Acai,38.82454
Acamas,10.925460000000001
Acari,85.5394
Acasia,119.0074
Accacia,25.74239
Accalia,103.37032
Accie,3.47515
Accursio,0.0248499999999999
Ace,18861.47447
Acea,81.22444
Acee,16.958
Acein,9.964400000000001
Aceion,65.69655
Acel,13.01882
Acela,9.97635
Acelee,4.97205
Acelia,13.92703
Acelin,148.00596
Acelino,6.9321
Acelyn,619.4805
Acelynn,1048.43188
Acen,560.441
Acencion,11.16711
Aceon,86.50613
Acer,72.54625
Acesen,22.8555
Aceson,466.19929
Aceston,45.75061
Acesyn,95.49563
Aceton,116.29652
Acetyn,21.9044
Acey,310.68124
Aceyn,273.56161
Aceyon,19.87938
Achai,5.95314
Achaia,61.46154
Achaius,4.96585
Achan,4.9663
Achante,34.66868
Achanti,4.96245
Achara,5.0
Achary,30.993299999999998
Achazia,5.96406
Achel,38.30601
Acheron,72.50831
Achille,143.02924
Achilleas,9.9671
Achilles,3212.46627
Achilleus,83.59306000000001
Achillies,92.32268
Achim,9.939
Achintya,42.65832
Achol,77.54853
Achraf,9.9278
Achsah,46.39607
Achyut,57.56664
Achyuth,58.66429
Acia,5.92986
Aciano,10.96355
Acie,1135.84199
Aciel,41.85176
Acil,0.9939800000000001
Acire,81.48635
Ackeem,31.25331
Ackley,46.7069
Acob,4.81795
Acquanetta,231.32822000000002
Acquanette,11.9384
Acre,70.76907
Acsa,178.07701
Action,25.8739
Acton,4.9677500000000006
Acura,25.74063
Acxel,232.09889
Acy,96.19977
Acyn,33.86266
Ad,9.33805
Ada,41830.42503
Adabel,25.250140000000002
Adabella,180.95311999999998
Adabelle,239.89084
Adacia,4.9498
Adae,14.909500000000001
Adael,343.75355
Adaela,4.97205
Adaelyn,5.96406
Adaeze,526.06462
Adagio,19.86529
Adagrace,5.97162
Adah,2011.25601
Adahir,61.59003
Adahli,22.78344
Adahlia,164.136
Adahlynn,4.9748
Adahy,5.95728
Adai,30.814349999999997
Adaia,277.99847
Adaiah,472.20359
Adaija,33.73682
Adaijah,81.37566
Adailyn,15.91072
Adain,332.38304
Adair,2679.10478
Adaira,194.62816
Adaire,49.55665
Adairis,4.96725
Adaisha,117.96599
Adaisia,6.94505
Adaiya,20.91582
Adaiyah,14.92435
Adaja,99.19696
Adajah,76.42583
Adajames,11.9403
Adajane,18.931919999999998
Adaku,6.87092
Adal,368.69264
Adala,0.7358
Adalade,4.9708000000000006
Adalae,242.66312000000002
Adalai,139.26121
Adalaide,327.08198
Adalaina,6.962479999999999
Adalaine,5.96868
Adalay,187.96461
Adalaya,150.26276
Adalayah,37.84633
Adalayde,12.92463
Adalayna,5.96784
Adalbert,11.96897
Adalberto,4241.65153
Adale,9.839649999999999
Adalea,92.52574
Adaleah,156.19699
Adalee,3653.30098
Adaleen,104.87769
Adaleena,99.46798
Adalei,198.92965
Adaleia,39.8204
Adaleigh,1540.9469
Adaleigha,8.0
Adaleine,42.84402
Adalen,43.74481
Adalena,525.16172
Adalene,473.12954
Adalet,45.90385
Adaleth,7.0
Adaley,361.13782
Adaleya,85.60298999999999
Adaleyza,79.63478
Adalhi,4.9472
Adali,620.09036
Adalia,2085.99279
Adaliah,251.68277999999998
Adalicia,49.72152
Adalid,140.49694
Adalida,190.98975
Adalie,2044.90093
Adaliene,35.83018
Adalin,425.66629
Adalina,1831.48772
Adalind,706.3362999999999
Adalinda,9.89885
Adaline,12390.14065
Adalinn,84.56742
Adalinna,4.97205
Adalinne,4.9716
Adalis,210.4081
Adalisa,5.92212
Adalise,69.63771
Adalisse,4.9704
Adalius,8.93187
Adaliya,23.90796
Adaliyah,59.73996
Adaliz,334.65942
Adalize,5.9649600000000005
Adallyn,50.74418
Adaly,827.41157
Adalya,9.939599999999999
Adalye,9.94155
Adalyn,26625.70065
Adalyna,151.27535
Adalynd,92.49199
Adalyne,792.76697
Adalynn,28320.27555
Adalynna,4.9726
Adalynne,1040.35197
Adalynnrose,4.9748
Adalys,39.74632
Adalyse,16.91144
Adam,541904.13124
Adama,986.03026
Adamae,84.93587
Adamari,1955.367
Adamarie,165.9705
Adamaris,3080.81008
Adamariz,220.53423
Adamary,654.59087
Adamarys,204.57766
Adamina,26.84591
Adamjames,4.96645
Adamm,5.80068
Adamma,4.8739
Adammichael,5.847239999999999
Adamo,15.68994
Adams,987.98895
Adan,28465.71673
Adana,238.71063
Adaneli,10.932690000000001
Adanelly,32.8025
Adanely,105.38286000000001
Adanis,4.97
Adanna,615.72802
Adannaya,53.744839999999996
Adante,168.12401
Adanya,191.80029
Adaobi,40.66636
Adaora,263.45453
Adar,140.04342
Adara,2169.38515
Adarah,52.702369999999995
Adari,9.95465
Adaria,116.07471
Adarian,242.79325
Adarien,19.8282
Adarion,37.70363
Adarious,28.68011
Adarius,1263.74959
Adarrion,4.96645
Adarrius,95.842
Adarryl,55.06554
Adarryll,27.35753
Adarsh,580.36694
Adaryl,9.526150000000001
Adaryll,40.84827
Adasha,112.97275
Adashia,19.84728
Adasia,227.22243
Adason,9.9306
Adassa,59.70019
Adassah,10.94642
Adasyn,187.85261
Adasynn,4.96865
Adau,10.94036
Adaugo,68.59082
Adaure,4.9716
Adavia,4.96965
Adavion,15.85356
Adaya,975.54937
Adayah,259.56423
Adayla,62.63175
Adaysha,60.52064
Adayshia,18.82625
Adaysia,21.830199999999998
Adbeel,4.96215
Adbiel,15.886760000000002
Add,23.319679999999998
Adda,171.31547
Addae,11.960519999999999
Addah,0.1033
Addai,51.6576
Addalee,242.7196
Addaleigh,111.41685
Addaley,43.75016
Addalia,4.97635
Addalie,135.22263
Addalin,20.885019999999997
Addalina,9.945
Addaline,226.82479
Addallee,9.94365
Addaly,4.97205
Addalyn,2760.10788
Addalyne,121.35777999999999
Addalynn,2070.13004
Addalynne,136.27113
Addam,722.70728
Addan,20.8221
Addasyn,112.31569
Addax,4.96875
Addelaide,12.92821
Addelin,21.86638
Addelina,25.85195
Addeline,479.81192
Addell,1.5872899999999999
Addelyn,2395.93361
Addelyne,26.85267
Addelynn,803.67513
Addelynne,37.78084
Adden,113.15527
Adderly,10.69234
Addeson,9.93495
Addesyn,17.88595
Addey,10.92476
Addi,450.85158
Addia,0.58914
Addiah,5.96868
Addicus,59.6397
Addicyn,32.80244
Addie,16552.10863
Addiel,135.13169
Addielynn,22.8673
Addiemae,11.04362
Addieson,14.9132
Addilee,241.75169
