name,sex,number_living
Aaryn,f,1351.90342
Aaryn,m,749.9082
Aarynn,f,4.97205
Aaryon,m,14.88915
Aaryona,f,9.93505
Aarza,f,27.895719999999997
Aarzu,f,5.0
Aaseem,m,4.96645
Aaser,m,11.918330000000001
Aasha,f,351.31320999999997
Aashana,f,4.96245
Aashay,m,42.68619
Aasher,m,4.96875
Aashi,f,661.12357
Aashia,f,5.95956
Aashika,f,111.38819
Aashini,f,4.97005
Aashir,m,168.82527
Aashirya,f,47.73373
Aashish,m,134.50594
Aashita,f,5.961600000000001
Aashiyana,f,11.92542
Aashka,f,162.92833
Aashman,m,4.964799999999999
Aashna,f,673.57963
Aashni,f,51.68285
Aashray,m,13.90333
Aashrit,m,5.964
Aashrita,f,62.63578
Aashrith,m,167.87254000000001
Aashritha,f,177.00913
Aashriya,f,23.8984
Aashvi,f,731.72087
Aashvik,m,12.95625
Aashvireddy,f,5.0
Aasia,f,223.34341
Aasiah,m,11.95485
Aasim,m,491.39028
Aasin,m,51.13454
Aasir,m,318.23526000000004
Aasiya,f,245.55767
Aasiyah,f,567.55445
Aason,m,91.47494
Aastha,f,264.22433
Aathan,m,4.9643999999999995
Aathira,f,15.9487
Aathiran,m,14.94942
Aatif,m,9.872499999999999
Aatikah,f,4.9739
Aatish,m,15.872589999999999
Aava,f,160.15658
Aavah,f,64.6371
Aavan,m,42.80802
Aavani,f,5.96868
Aavash,m,29.846049999999998
Aaven,m,55.65114
Aavi,m,26.82265
Aavin,m,34.75797
Aavion,m,41.78118
Aavir,m,54.72896
Aavish,m,10.92697
Aavni,f,5.97162
Aavya,f,618.3223
Aavyaan,m,5.0
Aavyan,m,83.7251
Aavyn,f,4.9704
Aavyn,m,5.958360000000001
Aaya,f,57.62086
Aayaan,m,61.57602
Aayah,f,58.66296
Aayam,m,54.68837
Aayan,m,2259.66489
Aayana,f,147.09385
Aayanah,f,9.9383
Aayanna,f,37.73404
Aayansh,m,403.77937000000003
Aayara,f,4.97635
Aayat,f,368.39281
Aayce,m,6.0
Aaydan,m,10.92313
Aayden,f,4.97005
Aayden,m,1663.4416
Aayla,f,682.55071
Aaylah,f,117.39464
Aayliah,f,90.42994
Aayon,m,9.937100000000001
Aayra,f,206.07878
Aayu,m,11.921759999999999
Aayush,m,1394.32212
Aayusha,f,10.937069999999999
Aayushi,f,248.42983
Aazan,m,4.9643999999999995
Aazeen,f,11.934529999999999
Aazil,m,10.95974
Aazim,m,28.79918
Aazir,m,20.906660000000002
Aaziyah,f,38.78171
Ab,m,312.00501
Aba,f,26.60481
Aba,m,4.9593
Abaan,m,55.64972
Abaas,m,5.95974
Ababacar,m,5.0
Abad,m,86.02849
Abaddon,m,12.952
Abagael,f,208.13947000000002
Abagail,f,5783.20162
Abagaile,f,14.8791
Abagale,f,371.20044
Abagayle,f,343.45454
Abaigael,f,18.87549
Abaigail,f,9.9373
Abaigeal,f,327.38524
Aban,m,38.73652
Abanoub,m,181.18059
Abas,m,99.25754
Abasi,m,38.39386
Abass,m,103.16871
Abayomi,m,214.48479
Abb,m,13.61071
Abba,f,1.06218
Abba,m,63.54283
Abbaas,m,4.94775
Abbagail,f,864.3619
Abbagale,f,138.04223
Abbagayle,f,111.19997000000001
Abbas,m,1610.05079
Abbe,f,1263.68689
Abbee,f,161.68110000000001
Abbegail,f,244.00168
Abbegale,f,81.37489
Abbegayle,f,72.44092
Abbey,f,17195.56255
Abbey,m,25.52346
Abbeygail,f,65.54555
Abbeygale,f,21.85241
Abbi,f,2036.86026
Abbie,f,16366.02589
Abbie,m,119.58596
Abbiegail,f,247.31716
Abbiegale,f,57.6153
Abbiegayle,f,17.891260000000003
Abbigael,f,160.77191
Abbigail,f,11923.02775
Abbigail,m,4.95465
Abbigaile,f,90.37143
Abbigal,f,156.90544
Abbigale,f,2157.73783
Abbigayl,f,28.79882
Abbigayle,f,1314.03655
Abbilyn,f,11.926929999999999
Abbot,m,26.89208
Abbott,f,23.85646
Abbott,m,895.3157
Abbra,f,35.29706
Abbrianna,f,4.9639
Abbriella,f,30.819789999999998
Abbrielle,f,82.37976
Abby,f,59104.03537
Abby,m,162.41912
Abbye,f,181.60474
Abbygael,f,69.52942
Abbygail,f,3550.86327
Abbygaile,f,46.69413
Abbygale,f,808.4325699999999
Abbygayl,f,5.96238
Abbygayle,f,447.81805
Abbylynn,f,17.89266
Abcde,f,404.28665
Abd,m,16.79955
Abdala,m,5.95116
Abdalah,m,5.95314
Abdalla,m,355.17167
Abdallah,m,1484.78708
Abdalrahman,m,204.32441
Abdalrhman,m,4.9643999999999995
Abdel,m,758.51168
Abdelaziz,m,109.94613
Abdelhadi,m,4.9593
Abdelhamid,m,4.96645
Abdelkader,m,4.9671
Abdelkareem,m,14.866800000000001
Abdelkarim,m,31.671419999999998
Abdellah,m,23.80734
Abdelrahman,m,619.71392
Abdelrhman,m,5.95626
Abderrahman,m,4.9643999999999995
Abdi,f,9.928
Abdi,m,312.52844
Abdia,f,4.97205
Abdias,m,788.01989
Abdiasis,m,5.95458
Abdiaziz,m,189.64363
Abdiel,m,6411.47703
Abdifatah,m,261.98087
Abdihafid,m,37.75582
Abdihakim,m,64.55102
Abdihamid,m,9.915500000000002
Abdikadir,m,183.73429000000002
Abdikarim,m,32.7316
Abdikhaliq,m,4.964
Abdilahi,m,9.92795
Abdimalik,m,258.16496
Abdinajib,m,4.964799999999999
Abdinasir,m,201.49571
Abdiqani,m,26.803910000000002
Abdirahim,m,110.2651
Abdirahin,m,5.95902
Abdirahman,m,2024.45229
Abdirashid,m,39.669799999999995
Abdirisaq,m,11.91456
Abdirizak,m,98.24915
Abdirizaq,m,4.9677500000000006
Abdisalam,m,4.95465
Abdisalan,m,10.92024
Abdisamad,m,27.80747
Abdishakur,m,68.5055
Abdiwahab,m,18.86018
Abdiwali,m,4.964
Abdo,m,87.01414
Abdon,m,307.60982
Abdou,m,270.58974
Abdoul,m,524.47035
Abdoulaye,m,824.13964
Abdoulaziz,m,9.92615
Abdoulie,m,118.87141
Abdourahman,m,10.9206
Abdourahmane,m,34.77859
Abdrahman,m,14.87555
Abdrew,m,5.828939999999999
Abdriel,m,26.86666
Abdu,m,30.83309
Abdual,m,16.211
Abduallah,m,31.7501
Abduel,m,4.75035
Abdul,m,6078.47133
Abdula,m,37.47121
Abdulah,m,73.85722
Abdulahad,m,138.18534
Abdulahi,m,474.20866
Abdulai,m,97.26992
Abdulaye,m,4.964
Abdulazeem,m,9.963000000000001
Abdulazeez,m,29.72868
Abdulazim,m,4.9671
Abdulaziz,m,1557.5364
Abdulbari,m,4.9643999999999995
Abdulbasit,m,36.7593
Abdule,m,5.688
Abdulelah,m,43.70012
Abdulghani,m,15.928270000000001
Abdulhaadi,m,9.96645
Abdulhadi,m,184.76162
Abdulhakeem,m,56.51638
Abdulhakim,m,22.81035
Abdulhalim,m,4.9384
Abdulhameed,m,15.89204
Abdulhamid,m,98.28737
Abduljabbar,m,38.74409
Abduljaleel,m,4.964
Abduljalil,m,4.96215
Abdulkabir,m,4.9719
Abdulkadir,m,143.88505
Abdulkareem,m,224.90471
Abdulkarim,m,183.48167
Abdulkhaliq,m,17.879269999999998
Abdull,m,4.80215
Abdulla,m,486.55048
Abdullah,m,8287.19754
Abdullahi,m,1681.13928
Abdullateef,m,4.97
Abdullatif,m,48.35539
Abdulloh,m,167.18006
Abdulmajeed,m,52.67871
Abdulmajid,m,20.81737
Abdulmalek,m,4.96355
Abdulmalik,m,518.23831
Abdulmannan,m,4.9677500000000006
Abdulmateen,m,5.0
Abdulmohsen,m,20.856659999999998
Abdulnasir,m,4.964
Abdulqadir,m,56.626470000000005
Abdulraheem,m,147.93845
Abdulrahim,m,130.88509
Abdulrahman,m,2606.66294
Abdulrazaq,m,4.96585
Abdulrehman,m,59.574799999999996
Abdulrhman,m,27.79907
Abdulsalam,m,85.50474
Abdulsamad,m,34.75462
Abdulwadud,m,4.96355
Abdulwahab,m,170.61627000000001
Abdulwahhab,m,4.97
Abdulwahid,m,17.87372
Abdulwali,m,21.89084
Abdur,m,305.78312999999997
Abdurahim,m,4.9671
Abdurahman,m,418.72787
Abdurahmon,m,14.93775
Abdurraheem,m,32.770579999999995
Abdurrahim,m,26.067729999999997
Abdurrahmaan,m,4.94775
Abdurrahman,m,926.28253
Abdurrehman,m,35.72495
Abdussamad,m,5.94864
Abe,m,3907.17599
Abeal,m,4.927099999999999
Abed,m,202.19113
Abedallah,m,15.725359999999998
Abedalrahman,m,10.90464
Abednego,m,90.35922
Abeeha,f,200.02394999999999
Abeer,f,574.58938
Abeer,m,168.07449
Abeera,f,94.50433
Abegail,f,510.73115
Abegale,f,4.9652
Abegayle,f,22.84426
Abel,f,141.39988
Abel,m,57439.51536
Abela,f,21.87415
Abelardo,m,4051.57367
Abelina,f,456.63188
Abelino,m,650.6354699999999
Abell,f,0.1855
Abell,m,25.7001
Abella,f,1028.37687
Abem,m,102.37787
Aben,m,27.80258
Abena,f,623.27305
Abenezer,m,223.54513
Abeni,f,374.29988
Aber,f,4.9162
Aberdeen,f,213.16437
Aberham,m,21.0049
Abernathy,f,32.80311
Abert,m,0.7377
Abery,f,6.95415
Abey,f,16.883490000000002
Abey,m,9.9006
Abgail,f,28.76815
Abha,f,56.5383
Abhay,m,816.05742
Abhaya,f,11.93666
Abhayram,m,12.96066
Abheek,m,6.9496
Abhi,m,274.76486
Abhigna,f,47.719409999999996
Abhijay,m,99.19043
Abhijeet,m,44.52004
Abhijit,m,41.5769
Abhijot,m,57.59952
Abhik,m,30.76422
Abhilash,m,21.752110000000002
Abhimanyu,m,254.07484
Abhinav,m,1900.47168
Abhinay,m,4.951499999999999
Abhinaya,f,4.97115
Abhir,m,4.9677500000000006
Abhiraam,m,5.95902
Abhiraj,m,93.3317
Abhiram,m,1152.77085
Abhirami,f,4.97205
Abhirup,m,9.9168
Abhishek,m,747.31156
Abhyant,m,12.964
Abhyuday,m,9.9323
Abi,f,582.72058
Abi,m,21.83034
Abia,f,102.36411
Abiageal,f,144.10424
Abiah,f,92.55248
Abiah,m,13.91475
Abian,m,19.861629999999998
Abianna,f,9.93985
Abibail,f,5.90424
Abid,m,365.8334
Abida,f,43.71197
Abidah,f,4.9716
Abidan,m,22.80827
Abie,f,57.13246
Abie,m,404.40784
Abiegail,f,14.899149999999999
Abiel,f,27.83199
Abiel,m,1339.41773
Abiela,f,19.8793
Abiella,f,15.90071
Abiezer,m,11.88606
Abigael,f,1840.92636
Abigael,m,4.95465
Abigaelle,f,260.76054999999997
Abigahil,f,41.683609999999994
Abigai,f,11.91882
Abigail,f,392329.18288
Abigail,m,653.7506099999999
Abigaile,f,608.59338
Abigailgrace,f,17.89482
Abigailjoy,f,5.0
Abigaille,f,26.82486
Abigailmarie,f,10.93503
Abigailrose,f,30.83317
Abigal,f,779.97599
Abigale,f,5760.95833
Abigayil,f,20.82043
Abigayl,f,342.44693
Abigayle,f,6052.310930000001
Abigayle,m,4.95465
Abigeal,f,21.85347
Abigel,f,30.805929999999996
Abigial,f,170.73535
Abiha,f,188.02598
Abihail,f,28.79288
Abijah,f,63.59965
Abijah,m,317.64449
Abilene,f,1383.74355
Abilgail,f,27.72525
Abilio,m,4.9014999999999995
Abilyn,f,4.9708000000000006
Abilynn,f,5.96538
Abimael,m,1322.1102
Abimbola,f,78.57544
Abimbola,m,4.96355
Abimelec,m,74.41449
Abin,m,9.8977
Abinadab,m,4.951499999999999
Abinadi,m,21.795659999999998
Abinav,m,43.6769
Abinaya,f,57.61968
Abiodun,m,17.25744
Abiola,f,175.14179
Abiola,m,43.14408
Abiona,f,18.877580000000002
Abir,f,96.05819
Abir,m,576.97352
Abira,f,41.80875
Abiram,m,11.912310000000002
Abirami,f,35.74514
Abisag,f,15.86093
Abisai,f,89.50416
Abisai,m,988.9751200000001
Abisaid,m,4.96645
Abish,f,23.82403
Abisha,f,63.625989999999994
Abishai,f,25.84872
Abishai,m,267.10255
Abishek,m,49.45689
Abisola,f,116.11162
Abiud,m,5.9418
Abiy,m,8.94195
Abiya,f,15.91931
Abiyah,f,21.90087
Abiyah,m,9.9653
Abla,f,10.920380000000002
Ablakat,f,39.79479
Able,m,958.2055
Abnel,m,5.9556000000000004
Abner,m,6253.15057
Abney,f,9.92855
Abney,m,0.024849999999999997
Abniel,m,4.9677500000000006
Abony,f,42.3771
Abou,m,96.30095
Aboubacar,m,402.56005
Aboubakar,m,64.54390000000001
Abra,f,973.16706
Abraam,m,58.46226
Abraar,m,11.90768
Abrah,f,40.54331
Abraham,f,205.09101
Abraham,m,81867.70363999999
Abrahan,m,998.8243
Abraheem,m,21.75685
Abrahem,m,40.61989
Abrahim,m,643.69055
Abrahm,m,766.7660999999999
Abram,m,17048.21529
Abrams,m,4.97
Abran,m,1855.64187
Abranda,f,4.8944
Abrar,f,490.71589
Abrar,m,487.71366
Abraxas,f,4.8308
Abraxas,m,51.76018
Abraya,f,4.97205
Abrea,f,187.36415
Abreana,f,43.65851
Abreanna,f,258.85735
Abree,f,623.80777
Abreia,f,5.93334
Abrem,m,4.96645
Abren,m,10.9209
Abreona,f,5.93664
Abreonna,f,14.90135
Abrey,f,151.99621
Abreya,f,4.95225
Abrham,m,129.14285999999998
Abri,f,237.64055
Abria,f,871.68768
Abriah,f,34.78281
Abrial,f,120.08822
Abriam,m,4.9014999999999995
Abrian,f,4.8793999999999995
Abrian,m,349.74209
Abriana,f,2494.05057
Abrianna,f,4170.4279
Abriannah,f,14.913359999999999
Abrianne,f,14.88575
Abrie,f,316.0893
Abriel,f,642.61816
Abriel,m,533.41223
Abriela,f,61.663759999999996
Abriele,f,4.95225
Abriella,f,1786.1485
Abrielle,f,4280.74683
Abrien,m,26.79328
Abrienne,f,26.838299999999997
Abrigail,f,25.71088
Abrihet,f,4.97115
Abril,f,8609.13686
Abril,m,4.94775
Abrille,f,9.886
Abrina,f,169.49518
Abrion,m,10.88593
Abriona,f,19.84615
Abrionna,f,53.61897
Abrish,f,94.48361
Abriya,f,28.80069
Abriyah,f,17.89792
Abriyana,f,5.96238
Abrom,m,0.99624
Abron,m,144.59999
Abrum,m,64.52673
Abry,f,12.925830000000001
Abryana,f,186.7527
Abryanna,f,268.2032
Abryella,f,16.90239
Abryelle,f,31.80331
Abryl,f,13.91304
Absalat,f,80.60265
Absalom,m,187.39208
Absalon,m,32.52113
Abshir,m,87.38339
Absidy,f,16.89192
Abtin,m,5.95728
Abu,m,425.36972
Abubacar,m,13.8976
Abubacarr,m,24.83315
Abubakar,m,820.34686
Abubakarr,m,46.66995
Abubakary,m,9.9168
Abubaker,m,49.66719
Abubakir,m,6.958
Abubakr,m,587.73261
Abuk,f,69.62806
Abukar,m,37.71897
Abundio,m,124.08556
Abuzar,m,17.93066
Aby,f,247.36859
Aby,m,55.374539999999996
Abyade,f,9.93355
Abyan,f,37.7611
Abyan,m,128.08652
Abygael,f,53.68428
Abygail,f,2779.24388
Abygaile,f,12.919149999999998
Abygale,f,358.65326
Abygayle,f,146.00041
Abyssinia,f,41.76958
Ac,m,72.83942
Acacia,f,4070.26759
Acacius,m,5.95902
Acadia,f,1020.36366
Acai,f,5.96976
Acai,m,32.854780000000005
Acamas,m,10.925460000000001
Acari,f,10.94174
Acari,m,74.59766
Acasia,f,119.0074
Accacia,f,25.74239
Accalia,f,103.37032
Accie,m,3.47515
Accursio,m,0.024849999999999997
Ace,f,113.53334
Ace,m,18747.94113
Acea,f,4.9704
Acea,m,76.25404
Acee,m,16.958
Acein,m,9.9644
Aceion,m,65.69655
Acel,m,13.01882
Acela,f,9.97635
Acelee,f,4.97205
Acelia,f,13.92703
Acelin,f,18.88011
Acelin,m,129.12584999999999
Acelino,m,6.9321
Acelyn,f,573.76966
Acelyn,m,45.71084
Acelynn,f,1048.43188
Acen,m,560.441
Acencion,m,11.16711
Aceon,m,86.50613
Acer,m,72.54625
Acesen,m,22.8555
Aceson,m,466.19929
Aceston,m,45.75061
Acesyn,m,95.49563
Aceton,m,116.29652
Acetyn,m,21.9044
Acey,f,47.80188
Acey,m,262.87936
Aceyn,m,273.56161
Aceyon,m,19.87938
Achai,m,5.95314
Achaia,f,61.46154
Achaius,m,4.96585
Achan,f,4.9663
Achante,f,34.66868
Achanti,f,4.96245
Achara,f,5.0
Achary,m,30.993299999999998
Achazia,f,5.96406
Achel,f,38.30601
Acheron,m,72.50831
Achille,m,143.02924
Achilleas,m,9.9671
Achilles,m,3212.46627
Achilleus,m,83.59306000000001
Achillies,m,92.32268
Achim,m,9.939
Achintya,m,42.65832
Achol,f,77.54853
Achraf,m,9.9278
Achsah,f,46.39607
Achyut,m,57.56664
Achyuth,m,58.66429
Acia,f,5.92986
Aciano,m,10.96355
Acie,f,46.29784
Acie,m,1089.54415
Aciel,m,41.85176
Acil,m,0.9939800000000001
Acire,f,76.5176
Acire,m,4.96875
Ackeem,m,31.25331
Ackley,f,9.94895
Ackley,m,36.75795
Acob,m,4.81795
Acquanetta,f,231.32822000000002
Acquanette,f,11.9384
Acre,m,70.76907
Acsa,f,178.07701
Action,m,25.8739
Acton,m,4.9677500000000006
Acura,f,25.74063
Acxel,m,232.09889
Acy,f,4.9692
Acy,m,91.23057
Acyn,m,33.862660000000005
Ad,m,9.338049999999999
Ada,f,41766.60029
Ada,m,63.82474
Adabel,f,25.250140000000002
Adabella,f,180.95312
Adabelle,f,239.89084
Adacia,f,4.9498
Adae,f,9.9465
Adae,m,4.963
Adael,m,343.75355
Adaela,f,4.97205
Adaelyn,f,5.96406
Adaeze,f,526.06462
Adagio,m,19.86529
Adagrace,f,5.97162
Adah,f,2011.25601
Adahir,m,61.59003
Adahli,f,22.78344
Adahlia,f,164.136
Adahlynn,f,4.9748
Adahy,m,5.95728
Adai,f,30.814349999999997
Adaia,f,277.99847
Adaiah,f,378.83378
